PROC_NUM,THREAD,TIME
1,1,2.28318
1,2,1.91715
1,4,1.63165
1,6,1.5873
1,8,1.48573
1,10,1.58967
1,12,1.52184
1,14,1.46155
1,16,1.56856
1,18,1.64757
1,20,1.5957
1,22,1.71049
1,24,1.57759
1,26,1.57679
1,28,1.72279
1,30,1.74767
1,32,1.71729
2,1,1.16711
2,2,1.01678
2,4,0.862705
2,6,0.900831
2,8,1.0565
2,10,1.01622
2,12,1.0764
2,14,1.02665
2,16,1.06553
2,18,1.20075
2,20,1.22224
2,22,1.18846
2,24,1.16082
2,26,1.12268
2,28,1.29807
2,30,1.18664
2,32,1.0524
4,1,0.640925
4,2,0.651287
4,4,0.657792
4,6,0.906226
4,8,0.800068
4,10,0.818169
4,12,0.862091
4,14,0.815675
4,16,0.833446
4,18,0.850878
4,20,0.853769
4,22,0.821403
4,24,0.841262
4,26,0.82831
4,28,0.809112
4,30,0.792094
4,32,0.777664
6,1,0.49409
6,2,0.532502
6,4,0.704062
6,6,0.696892
6,8,0.69684
6,10,0.708167
6,12,0.725682
6,14,0.731629
6,16,0.765172
6,18,0.785477
6,20,0.795502
6,22,0.689129
6,24,0.715633
6,26,0.702921
6,28,0.693173
6,30,0.693969
6,32,0.705576
8,1,0.424665
8,2,0.560562
8,4,0.614505
8,6,0.650093
8,8,0.652487
8,10,0.668865
8,12,0.70245
8,14,0.716725
8,16,0.741733
8,18,0.772781
8,20,0.782851
8,22,0.652541
8,24,0.612038
8,26,0.617722
8,28,0.624009
8,30,0.615245
8,32,0.618469
10,1,0.520781
10,2,0.609434
10,4,0.58135
10,6,0.595959
10,8,0.628498
10,10,0.661499
10,12,0.68785
10,14,0.711703
10,16,0.743754
10,18,0.791022
10,20,0.798632
10,22,0.578195
10,24,0.570164
10,26,0.570551
10,28,0.581254
10,30,0.570154
10,32,0.571892
12,1,0.502743
12,2,0.50752
12,4,0.552192
12,6,0.60267
12,8,0.62533
12,10,0.667779
12,12,0.690709
12,14,0.706675
12,16,0.733334
12,18,0.776497
12,20,0.808057
12,22,0.556012
12,24,0.552113
12,26,0.535857
12,28,0.539688
12,30,0.56399
12,32,0.566352
14,1,0.481407
14,2,0.468751
14,4,0.548222
14,6,0.604304
14,8,0.626885
14,10,0.665349
14,12,0.691377
14,14,0.734882
14,16,0.772901
14,18,0.794632
14,20,0.852627
14,22,0.531006
14,24,0.529907
14,26,0.541235
14,28,0.528604
14,30,0.530612
14,32,0.546959
16,1,0.439493
16,2,0.509429
16,4,0.556096
16,6,0.595061
16,8,0.619833
16,10,0.667391
16,12,0.718351
16,14,0.754464
16,16,0.786657
16,18,0.837008
16,20,0.903471
16,22,0.510378
16,24,0.51105
16,26,0.514952
16,28,0.512029
16,30,0.538192
16,32,0.519285
18,1,0.396136
18,2,0.480816
18,4,0.531369
18,6,0.60573
18,8,0.629607
18,10,0.683936
18,12,0.743957
18,14,0.761947
18,16,0.818165
18,18,0.861966
18,20,0.89526
18,22,0.5202
18,24,0.514835
18,26,0.498604
18,28,0.496286
18,30,0.514972
18,32,0.515027
20,1,0.38196
20,2,0.485302
20,4,0.576807
20,6,0.607642
20,8,0.666414
20,10,0.696902
20,12,0.772884
20,14,0.799676
20,16,0.858912
20,18,0.910318
20,20,0.950787
20,22,0.512118
20,24,0.504038
20,26,0.51202
20,28,0.499505
20,30,0.507919
20,32,0.507676
22,1,0.649747
22,2,0.572429
22,4,0.598361
22,6,0.697499
22,8,0.693511
22,10,0.840256
22,12,0.780636
22,14,0.859547
22,16,0.968085
22,18,1.05756
22,20,1.043
22,22,0.526586
22,24,0.625424
22,26,0.53228
22,28,0.565388
22,30,0.627303
22,32,0.601599
24,1,0.792903
24,2,0.869349
24,4,0.776558
24,6,0.729447
24,8,0.884225
24,10,1.16476
24,12,1.0088
24,14,1.03121
24,16,1.13693
24,18,1.26415
24,20,1.14
24,22,0.863206
24,24,0.733113
24,26,0.774654
24,28,0.745663
24,30,0.681293
24,32,0.618834
26,1,0.961257
26,2,1.03664
26,4,0.901255
26,6,1.04162
26,8,0.948977
26,10,0.905474
26,12,1.07857
26,14,1.14637
26,16,1.30133
26,18,1.26079
26,20,1.41833
26,22,0.635072
26,24,0.964515
26,26,0.772945
26,28,0.774725
26,30,0.796801
26,32,0.842683
28,1,1.0728
28,2,1.2171
28,4,0.988504
28,6,1.2046
28,8,1.21749
28,10,1.20345
28,12,1.13879
28,14,1.19177
28,16,1.3364
28,18,1.32901
28,20,1.40875
28,22,0.916561
28,24,1.11257
28,26,0.904664
28,28,0.763834
28,30,0.77874
28,32,1.31937
30,1,1.03002
30,2,1.30104
30,4,1.45327
30,6,1.07691
30,8,1.291
30,10,1.64147
30,12,1.43685
30,14,1.68437
30,16,1.61514
30,18,1.94496
30,20,1.69664
30,22,1.01621
30,24,1.04134
30,26,1.26931
30,28,1.22059
30,30,1.48978
30,32,0.855062
32,1,1.12069

32,2,1.24098
32,4,1.16105
32,6,1.34512
32,8,1.22852
32,10,1.48399
32,12,1.42339
32,14,1.70479
32,16,1.63359
32,18,1.88479
32,20,1.93307
32,22,1.12525
32,24,1.34922
32,26,1.3546
32,28,1.18567
32,30,1.26139
32,32,1.03063
