SCALE,THREAD,RATIO
128,2,4.58009
128,4,8.92633
128,6,10.5318
128,8,5.13124
128,10,7.99869
128,12,12.165
128,14,13.2303
128,16,14.4146
128,18,14.87
128,20,1.04634
128,22,8.60619
128,24,10.4777
128,26,12.1771
128,28,10.1898
128,30,7.92617
128,32,10.089
256,2,1.84753
256,4,3.60919
256,6,5.37117
256,8,3.72831
256,10,4.02853
256,12,2.74236
256,14,5.17818
256,16,5.30445
256,18,1.65634
256,20,1.77272
256,22,2.9362
256,24,5.33029
256,26,5.02728
256,28,5.39101
256,30,5.54289
256,32,5.96187
512,2,1.79691
512,4,3.35525
512,6,4.8098
512,8,6.41664
512,10,4.94313
512,12,5.42282
512,14,5.96924
512,16,6.08056
512,18,6.41413
512,20,4.18245
512,22,6.09017
512,24,6.69132
512,26,6.3643
512,28,6.36229
512,30,5.96163
512,32,6.08649
1024,2,1.86291
1024,4,3.67138
1024,6,5.3109
1024,8,6.57419
1024,10,6.16178
1024,12,6.99689
1024,14,6.95676
1024,16,7.59785
1024,18,7.71824
1024,20,7.84812
1024,22,7.28153
1024,24,7.5947
1024,26,7.88262
1024,28,7.49409
1024,30,7.55093
1024,32,7.68706
2048,2,1.79439
2048,4,3.78607
2048,6,5.52719
2048,8,7.32478
2048,10,7.24029
2048,12,8.40665
2048,14,8.9649
2048,16,9.51226
2048,18,9.59393
2048,20,9.28423
2048,22,9.06313
2048,24,8.95848
2048,26,9.42896
2048,28,9.0292
2048,30,9.15561
2048,32,9.05661
